Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
D1,2017-02-04,Hoffenheim,Mainz,1726.27,1680.44,4.0,6.0,2.0,5.0,4.0,0.0,H,1.0,0.0,H,22.0,13.0,7.0,2.0,14.0,13.0,3.0,6.0,2.0,2.0,0.0,0.0,1.8,3.8,4.33
D1,2017-02-04,MGladbach,Freiburg,1719.24,1666.06,4.0,7.0,6.0,10.0,3.0,0.0,H,0.0,0.0,D,11.0,14.0,3.0,4.0,9.0,10.0,3.0,8.0,1.0,1.0,0.0,0.0,1.73,3.8,4.75
D1,2017-02-05,Augsburg,Werder Bremen,1666.57,1637.99,4.0,7.0,1.0,5.0,3.0,2.0,H,1.0,1.0,D,15.0,19.0,7.0,4.0,13.0,12.0,2.0,4.0,3.0,2.0,0.0,0.0,2.1,3.5,3.5
D1,2017-02-05,Ein Frankfurt,Darmstadt,1712.3,1531.45,6.0,7.0,1.0,1.0,2.0,0.0,H,0.0,0.0,D,15.0,4.0,6.0,0.0,7.0,16.0,8.0,2.0,2.0,4.0,0.0,0.0,1.55,3.8,7.0
D1,2017-02-10,Mainz,Augsburg,1680.44,1666.57,2.0,5.0,6.0,10.0,2.0,0.0,H,1.0,0.0,H,8.0,10.0,4.0,6.0,10.0,15.0,6.0,2.0,1.0,3.0,0.0,0.0,2.1,3.25,3.8
D1,2017-02-11,Darmstadt,Dortmund,1531.45,1875.13,1.0,1.0,7.0,9.0,2.0,1.0,H,1.0,1.0,D,15.0,14.0,7.0,4.0,10.0,20.0,0.0,12.0,2.0,2.0,0.0,0.0,9.0,5.0,1.36
D1,2017-02-11,Ingolstadt,Bayern Munich,1593.29,2011.81,3.0,6.0,7.0,13.0,0.0,2.0,A,0.0,0.0,D,8.0,17.0,0.0,5.0,15.0,14.0,2.0,4.0,2.0,1.0,0.0,0.0,8.5,5.0,1.36
D1,2017-02-11,Leverkusen,Ein Frankfurt,1779.28,1712.3,3.0,4.0,6.0,9.0,3.0,0.0,H,1.0,0.0,H,17.0,9.0,7.0,3.0,10.0,10.0,7.0,6.0,2.0,1.0,0.0,0.0,1.91,3.5,4.2
D1,2017-02-11,RB Leipzig,Hamburg,1712.63,1601.84,6.0,9.0,3.0,6.0,0.0,3.0,A,0.0,2.0,A,15.0,11.0,0.0,5.0,10.0,17.0,3.0,6.0,2.0,2.0,0.0,0.0,1.5,4.2,7.0
D1,2017-02-11,Schalke 04,Hertha,1721.69,1693.19,4.0,5.0,3.0,6.0,2.0,0.0,H,1.0,0.0,H,14.0,5.0,3.0,2.0,20.0,17.0,2.0,2.0,1.0,2.0,0.0,0.0,1.85,3.5,4.5
