Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
I1,2017-01-22,Genoa,Crotone,1603.79,1441.24,0.0,3.0,0.0,3.0,2.0,2.0,D,1.0,0.0,H,10.0,14.0,4.0,6.0,18.0,9.0,7.0,5.0,1.0,2.0,0.0,0.0,1.57,4.0,6.0
I1,2017-01-22,Juventus,Lazio,1919.23,1700.3,6.0,12.0,6.0,12.0,2.0,0.0,H,2.0,0.0,H,7.0,11.0,2.0,2.0,10.0,19.0,0.0,4.0,0.0,3.0,0.0,0.0,1.5,4.2,7.0
I1,2017-01-22,Palermo,Inter,1491.03,1692.04,1.0,4.0,9.0,15.0,0.0,1.0,A,0.0,0.0,D,6.0,16.0,0.0,6.0,23.0,13.0,7.0,12.0,5.0,1.0,1.0,1.0,6.5,4.0,1.55
I1,2017-01-22,Pescara,Sassuolo,1449.05,1596.06,1.0,2.0,4.0,4.0,1.0,3.0,A,0.0,1.0,A,19.0,16.0,5.0,5.0,12.0,23.0,5.0,6.0,4.0,5.0,0.0,0.0,2.9,3.3,2.5
I1,2017-01-22,Roma,Cagliari,1794.2,1533.4,9.0,12.0,6.0,6.0,1.0,0.0,H,0.0,0.0,D,18.0,8.0,6.0,0.0,8.0,15.0,5.0,4.0,1.0,3.0,0.0,1.0,1.25,6.5,11.0
I1,2017-01-28,Inter,Pescara,1692.04,1449.05,9.0,15.0,1.0,1.0,3.0,0.0,H,2.0,0.0,H,17.0,10.0,7.0,4.0,13.0,12.0,11.0,3.0,1.0,1.0,0.0,0.0,1.2,7.0,13.0
I1,2017-01-28,Lazio,Chievo,1700.3,1585.45,6.0,9.0,0.0,3.0,0.0,1.0,A,0.0,0.0,D,28.0,7.0,8.0,2.0,16.0,8.0,10.0,3.0,2.0,2.0,0.0,0.0,1.5,4.0,7.5
I1,2017-01-29,Cagliari,Bologna,1533.4,1552.33,3.0,6.0,6.0,10.0,1.0,1.0,D,0.0,0.0,D,19.0,8.0,6.0,2.0,15.0,18.0,3.0,2.0,2.0,3.0,0.0,2.0,2.45,3.25,3.0
I1,2017-01-29,Crotone,Empoli,1441.24,1543.16,1.0,4.0,7.0,10.0,4.0,1.0,H,1.0,1.0,D,14.0,5.0,7.0,3.0,13.0,14.0,8.0,1.0,3.0,1.0,0.0,0.0,2.38,3.1,3.25
I1,2017-01-29,Fiorentina,Genoa,1682.73,1603.79,7.0,7.0,1.0,1.0,3.0,3.0,D,1.0,0.0,H,22.0,7.0,8.0,3.0,10.0,20.0,5.0,0.0,3.0,4.0,1.0,0.0,1.62,4.0,5.5
I1,2017-01-29,Napoli,Palermo,1803.28,1491.03,9.0,13.0,0.0,4.0,1.0,1.0,D,0.0,1.0,A,19.0,3.0,10.0,2.0,6.0,9.0,14.0,2.0,0.0,3.0,0.0,1.0,1.13,9.0,21.0
I1,2017-01-29,Sampdoria,Roma,1568.89,1794.2,1.0,2.0,9.0,12.0,3.0,2.0,H,1.0,1.0,D,18.0,16.0,7.0,10.0,19.0,14.0,7.0,7.0,2.0,3.0,0.0,0.0,4.75,3.8,1.75
I1,2017-01-29,Sassuolo,Juventus,1596.06,1919.23,7.0,7.0,6.0,12.0,0.0,2.0,A,0.0,2.0,A,7.0,14.0,3.0,5.0,18.0,13.0,5.0,6.0,3.0,1.0,0.0,0.0,6.5,4.33,1.5
I1,2017-01-29,Torino,Atalanta,1641.95,1651.15,2.0,5.0,6.0,10.0,1.0,1.0,D,1.0,0.0,H,12.0,17.0,4.0,8.0,19.0,18.0,2.0,6.0,1.0,2.0,0.0,0.0,2.4,3.25,3.1
I1,2017-01-29,Udinese,Milan,1568.13,1696.42,0.0,4.0,4.0,5.0,2.0,1.0,H,1.0,1.0,D,12.0,12.0,5.0,5.0,9.0,13.0,2.0,7.0,3.0,2.0,0.0,0.0,3.2,3.3,2.3
I1,2017-02-01,Pescara,Fiorentina,1436.31,1702.33,0.0,1.0,7.0,8.0,1.0,2.0,A,1.0,0.0,H,4.0,22.0,3.0,4.0,10.0,15.0,1.0,14.0,4.0,3.0,0.0,0.0,4.5,3.6,1.83
I1,2017-02-04,Bologna,Napoli,1565.83,1803.61,7.0,10.0,7.0,11.0,1.0,7.0,A,1.0,4.0,A,17.0,14.0,7.0,9.0,10.0,9.0,3.0,0.0,2.0,3.0,1.0,1.0,7.5,4.5,1.44
I1,2017-02-05,Atalanta,Cagliari,1652.37,1542.97,4.0,10.0,4.0,7.0,2.0,0.0,H,2.0,0.0,H,13.0,4.0,5.0,0.0,18.0,18.0,6.0,4.0,4.0,2.0,0.0,0.0,1.44,4.33,8.0
I1,2017-02-05,Chievo,Udinese,1585.82,1566.49,3.0,3.0,3.0,4.0,0.0,0.0,D,0.0,0.0,D,6.0,12.0,0.0,1.0,20.0,21.0,5.0,6.0,2.0,1.0,1.0,0.0,2.38,3.2,3.2
I1,2017-02-05,Empoli,Torino,1537.53,1627.57,4.0,7.0,2.0,6.0,1.0,1.0,D,1.0,1.0,D,10.0,9.0,2.0,4.0,17.0,23.0,2.0,3.0,6.0,4.0,0.0,0.0,3.6,3.3,2.15
I1,2017-02-05,Genoa,Sassuolo,1590.17,1606.58,2.0,2.0,6.0,7.0,0.0,1.0,A,0.0,1.0,A,15.0,7.0,4.0,3.0,14.0,7.0,8.0,9.0,2.0,1.0,0.0,0.0,2.05,3.4,3.75
I1,2017-02-05,Juventus,Inter,1915.11,1699.76,6.0,12.0,9.0,15.0,1.0,0.0,H,1.0,0.0,H,14.0,12.0,6.0,2.0,14.0,16.0,6.0,8.0,5.0,3.0,0.0,1.0,1.57,4.0,6.5
I1,2017-02-05,Milan,Sampdoria,1680.66,1573.5,1.0,5.0,4.0,5.0,0.0,1.0,A,0.0,0.0,D,20.0,7.0,6.0,3.0,16.0,12.0,8.0,3.0,3.0,2.0,1.0,0.0,1.67,4.0,5.0
I1,2017-02-05,Palermo,Crotone,1487.97,1462.26,1.0,2.0,4.0,4.0,1.0,0.0,H,1.0,0.0,H,12.0,9.0,4.0,1.0,12.0,25.0,3.0,2.0,2.0,2.0,0.0,1.0,2.3,3.25,3.3
I1,2017-02-05,Pescara,Lazio,1436.31,1688.54,0.0,1.0,3.0,6.0,2.0,6.0,A,2.0,2.0,D,14.0,17.0,6.0,10.0,13.0,16.0,2.0,4.0,0.0,1.0,0.0,0.0,6.0,3.9,1.57
I1,2017-02-07,Roma,Fiorentina,1788.47,1702.33,6.0,12.0,7.0,11.0,4.0,0.0,H,1.0,0.0,H,23.0,13.0,8.0,2.0,10.0,15.0,6.0,3.0,2.0,3.0,0.0,0.0,1.62,4.0,5.5
I1,2017-02-08,Bologna,Milan,1565.83,1680.66,4.0,7.0,0.0,4.0,0.0,1.0,A,0.0,0.0,D,20.0,5.0,5.0,4.0,13.0,14.0,7.0,9.0,5.0,2.0,0.0,2.0,3.4,3.25,2.25
I1,2017-02-08,Crotone,Juventus,1462.26,1915.11,4.0,4.0,9.0,12.0,0.0,2.0,A,0.0,0.0,D,5.0,17.0,2.0,11.0,13.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,6.0,1.22
