Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
T1,2017-02-12,Kasimpasa,Buyuksehyr,1455.13,1621.93,3.0,6.0,6.0,10.0,4.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,4.33,3.6,1.8
T1,2017-02-12,Konyaspor,Antalyaspor,1519.76,1502.54,3.0,4.0,9.0,12.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,2.45,3.25,2.88
T1,2017-02-13,Gaziantepspor,Adanaspor,1344.81,1391.72,0.0,0.0,7.0,11.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,2.38,3.25,3.0
T1,2017-02-17,Kayserispor,Bursaspor,1410.18,1479.86,7.0,10.0,1.0,1.0,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,2.1,3.2,3.6
T1,2017-02-18,Antalyaspor,Karabukspor,1505.1,1421.44,7.0,13.0,6.0,9.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,2.05,3.2,3.8
T1,2017-02-18,Buyuksehyr,Gaziantepspor,1601.29,1352.15,3.0,7.0,3.0,3.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.3,5.0,10.0
T1,2017-02-18,Rizespor,Galatasaray,1401.58,1588.74,3.0,6.0,3.0,9.0,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,4.0,3.6,1.85
T1,2017-02-19,Adanaspor,Osmanlispor,1384.38,,6.0,8.0,1.0,4.0,1.0,5.0,A,0.0,2.0,A,,,,,,,,,,,,,3.4,3.2,2.2
T1,2017-02-19,Besiktas,Akhisar Belediyespor,1686.54,1450.15,6.0,12.0,4.0,7.0,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1.36,4.75,8.0
T1,2017-02-19,Fenerbahce,Kasimpasa,1663.4,1475.77,4.0,8.0,3.0,6.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.36,4.5,9.0
T1,2017-02-19,Genclerbirligi,Konyaspor,1476.77,1517.21,1.0,4.0,4.0,4.0,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.05,3.2,3.8
T1,2017-02-20,Trabzonspor,Alanyaspor,1467.14,1399.05,9.0,12.0,3.0,3.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.6,3.8,5.75
T1,2017-02-24,Kasimpasa,Bursaspor,1475.77,1479.86,4.0,7.0,1.0,1.0,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.95,3.4,3.9
T1,2017-02-24,Rizespor,Kayserispor,1401.58,1410.18,4.0,7.0,9.0,10.0,2.0,4.0,A,1.0,2.0,A,,,,,,,,,,,,,2.1,3.2,3.6
T1,2017-02-25,Akhisar Belediyespor,Antalyaspor,1450.15,1505.1,3.0,4.0,7.0,13.0,3.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.45,3.25,2.88
T1,2017-02-25,Alanyaspor,Adanaspor,1399.05,1384.38,4.0,4.0,3.0,7.0,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,,,1.95,3.5,3.8
T1,2017-02-25,Konyaspor,Trabzonspor,1517.21,1467.14,1.0,4.0,7.0,13.0,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,,,2.9,3.1,2.5
T1,2017-02-26,Gaziantepspor,Fenerbahce,1352.15,1663.4,4.0,4.0,2.0,6.0,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,,,4.75,3.6,1.73
T1,2017-02-26,Karabukspor,Genclerbirligi,1421.44,1476.77,3.0,9.0,4.0,7.0,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,2.3,3.2,2.9
T1,2017-02-26,Osmanlispor,Buyuksehyr,,1601.29,4.0,4.0,4.0,7.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,2.5,3.2,2.8
T1,2017-02-27,Galatasaray,Besiktas,1588.74,1686.54,4.0,7.0,6.0,12.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,2.88,3.3,2.4
