Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2017-01-21,Real Madrid,Malaga,2051.6,1716.28,6.0,10.0,0.0,2.0,2.0,1.0,H,2.0,0.0,H,14.0,10.0,7.0,6.0,7.0,20.0,5.0,4.0,2.0,3.0,0.0,0.0,1.13,10.0,17.0
SP1,2017-01-21,Villarreal,Valencia,1778.82,1689.94,5.0,9.0,4.0,5.0,0.0,2.0,A,0.0,2.0,A,20.0,13.0,5.0,5.0,14.0,17.0,7.0,2.0,2.0,2.0,0.0,0.0,1.85,3.6,4.33
SP1,2017-01-22,Ath Bilbao,Ath Madrid,1771.05,1943.04,5.0,8.0,9.0,10.0,2.0,2.0,D,1.0,1.0,D,8.0,11.0,5.0,5.0,12.0,9.0,2.0,6.0,2.0,3.0,0.0,0.0,4.0,3.2,2.05
SP1,2017-01-22,Betis,Sp Gijon,1679.1,1628.8,3.0,7.0,0.0,3.0,0.0,0.0,D,0.0,0.0,D,16.0,7.0,4.0,1.0,14.0,20.0,9.0,5.0,2.0,2.0,0.0,0.0,1.73,3.6,5.25
SP1,2017-01-22,Eibar,Barcelona,1666.71,2016.26,4.0,5.0,7.0,11.0,0.0,4.0,A,0.0,1.0,A,14.0,14.0,6.0,7.0,12.0,4.0,8.0,5.0,3.0,1.0,0.0,0.0,9.5,6.0,1.29
SP1,2017-01-22,Osasuna,Sevilla,1565.8,1850.85,2.0,2.0,9.0,12.0,3.0,4.0,A,1.0,1.0,D,14.0,13.0,7.0,9.0,14.0,8.0,3.0,6.0,5.0,3.0,0.0,0.0,6.0,4.33,1.53
SP1,2017-01-22,Sociedad,Celta,1755.81,1735.0,6.0,9.0,6.0,7.0,1.0,0.0,H,0.0,0.0,D,17.0,11.0,6.0,5.0,13.0,12.0,4.0,3.0,2.0,2.0,0.0,0.0,1.95,3.6,3.8
SP1,2017-01-27,Osasuna,Malaga,1565.8,1716.28,2.0,2.0,0.0,1.0,1.0,1.0,D,0.0,0.0,D,14.0,14.0,2.0,5.0,9.0,16.0,4.0,6.0,1.0,0.0,0.0,0.0,2.88,3.3,2.5
SP1,2017-01-28,Alaves,Ath Madrid,1652.33,1943.04,2.0,6.0,7.0,10.0,0.0,0.0,D,0.0,0.0,D,19.0,8.0,4.0,2.0,19.0,18.0,7.0,2.0,3.0,2.0,0.0,0.0,6.0,3.6,1.62
SP1,2017-01-28,Eibar,La Coruna,1666.71,1671.89,3.0,5.0,3.0,6.0,3.0,1.0,H,2.0,1.0,H,12.0,20.0,6.0,7.0,14.0,7.0,9.0,10.0,0.0,2.0,0.0,0.0,2.1,3.25,3.75
SP1,2017-01-28,Leganes,Celta,1615.81,1735.0,2.0,4.0,6.0,6.0,0.0,2.0,A,0.0,1.0,A,6.0,3.0,0.0,3.0,20.0,14.0,8.0,0.0,1.0,1.0,0.0,0.0,2.3,3.1,3.4
SP1,2017-01-28,Villarreal,Granada,1778.82,1620.22,2.0,8.0,1.0,2.0,2.0,0.0,H,1.0,0.0,H,18.0,7.0,6.0,0.0,11.0,18.0,7.0,4.0,3.0,2.0,0.0,0.0,1.36,4.75,9.5
SP1,2017-01-29,Ath Bilbao,Sp Gijon,1771.05,1628.8,3.0,6.0,1.0,1.0,2.0,1.0,H,0.0,1.0,A,11.0,5.0,6.0,3.0,11.0,22.0,5.0,0.0,4.0,3.0,0.0,0.0,1.36,4.75,9.5
SP1,2017-01-29,Betis,Barcelona,1679.1,2016.26,4.0,7.0,7.0,13.0,1.0,1.0,D,0.0,0.0,D,17.0,10.0,7.0,4.0,17.0,12.0,8.0,2.0,2.0,3.0,0.0,0.0,12.0,6.0,1.25
SP1,2017-01-29,Espanol,Sevilla,1700.63,1850.85,4.0,7.0,9.0,15.0,3.0,1.0,H,2.0,1.0,H,16.0,12.0,8.0,5.0,18.0,14.0,7.0,4.0,2.0,2.0,0.0,1.0,3.3,3.4,2.2
SP1,2017-01-29,Real Madrid,Sociedad,2051.6,1755.81,6.0,10.0,6.0,12.0,3.0,0.0,H,1.0,0.0,H,7.0,9.0,4.0,3.0,16.0,11.0,0.0,3.0,2.0,1.0,0.0,1.0,1.25,6.5,10.0
SP1,2017-01-30,Las Palmas,Valencia,1699.3,1689.94,4.0,5.0,7.0,8.0,3.0,1.0,H,1.0,1.0,D,9.0,8.0,4.0,3.0,17.0,13.0,6.0,3.0,1.0,3.0,0.0,1.0,2.5,3.4,2.8
SP1,2017-02-04,Ath Madrid,Leganes,1935.47,1608.67,5.0,11.0,2.0,3.0,2.0,0.0,H,1.0,0.0,H,12.0,15.0,4.0,2.0,10.0,15.0,3.0,6.0,1.0,1.0,0.0,0.0,1.29,5.0,15.0
SP1,2017-02-04,Barcelona,Ath Bilbao,2015.28,1776.16,7.0,11.0,5.0,9.0,3.0,0.0,H,2.0,0.0,H,16.0,10.0,6.0,5.0,11.0,18.0,7.0,3.0,1.0,3.0,0.0,0.0,1.22,6.5,13.0
SP1,2017-02-04,Malaga,Espanol,1700.78,1714.45,1.0,1.0,6.0,7.0,0.0,1.0,A,0.0,1.0,A,19.0,4.0,5.0,3.0,9.0,18.0,17.0,2.0,1.0,4.0,0.0,0.0,2.1,3.4,3.6
SP1,2017-02-04,Valencia,Eibar,1705.16,1679.18,6.0,7.0,6.0,7.0,0.0,4.0,A,0.0,2.0,A,8.0,11.0,1.0,7.0,12.0,10.0,2.0,6.0,2.0,1.0,1.0,0.0,1.91,3.6,4.0
SP1,2017-02-05,Sevilla,Villarreal,1850.84,1765.12,6.0,12.0,4.0,8.0,0.0,0.0,D,0.0,0.0,D,14.0,11.0,4.0,4.0,14.0,16.0,9.0,0.0,2.0,2.0,0.0,0.0,1.6,3.8,6.0
SP1,2017-02-05,Sociedad,Osasuna,1771.65,1567.65,6.0,9.0,2.0,3.0,3.0,2.0,H,0.0,1.0,A,13.0,11.0,6.0,5.0,6.0,22.0,3.0,2.0,2.0,2.0,0.0,0.0,1.3,5.25,11.0
SP1,2017-02-05,Sp Gijon,Alaves,1620.66,1650.12,1.0,1.0,2.0,6.0,2.0,4.0,A,0.0,1.0,A,12.0,14.0,4.0,7.0,20.0,20.0,8.0,4.0,7.0,3.0,0.0,0.0,2.2,3.3,3.4
SP1,2017-02-06,Granada,Las Palmas,1606.44,1704.38,1.0,1.0,4.0,7.0,1.0,0.0,H,1.0,0.0,H,12.0,15.0,4.0,5.0,27.0,9.0,6.0,5.0,5.0,3.0,0.0,0.0,3.0,3.4,2.38
SP1,2017-02-10,Espanol,Sociedad,1714.45,1771.65,9.0,10.0,6.0,9.0,1.0,2.0,A,1.0,1.0,D,7.0,15.0,2.0,5.0,15.0,14.0,5.0,6.0,3.0,2.0,0.0,0.0,2.8,3.2,2.63
SP1,2017-02-11,Alaves,Barcelona,1650.12,2015.28,5.0,6.0,7.0,11.0,0.0,6.0,A,0.0,2.0,A,9.0,21.0,4.0,9.0,16.0,9.0,3.0,9.0,1.0,3.0,0.0,0.0,10.0,5.5,1.3
SP1,2017-02-11,Ath Bilbao,La Coruna,1776.16,1666.9,4.0,6.0,2.0,6.0,2.0,1.0,H,0.0,1.0,A,13.0,8.0,5.0,3.0,12.0,11.0,3.0,2.0,1.0,2.0,0.0,0.0,1.67,3.6,5.75
SP1,2017-02-11,Betis,Valencia,1681.24,1705.16,2.0,5.0,3.0,7.0,0.0,0.0,D,0.0,0.0,D,16.0,8.0,2.0,4.0,15.0,17.0,4.0,6.0,4.0,3.0,0.0,0.0,2.5,3.25,2.9
SP1,2017-02-11,Osasuna,Real Madrid,1567.65,2044.52,1.0,3.0,6.0,12.0,1.0,3.0,A,1.0,1.0,D,11.0,12.0,8.0,6.0,10.0,8.0,3.0,2.0,3.0,2.0,0.0,0.0,13.0,6.5,1.22
SP1,2017-02-12,Ath Madrid,Celta,1935.47,1744.55,5.0,11.0,6.0,9.0,3.0,2.0,H,1.0,1.0,D,16.0,14.0,5.0,6.0,11.0,13.0,3.0,3.0,1.0,2.0,0.0,0.0,1.4,4.5,8.5
SP1,2017-02-12,Las Palmas,Sevilla,1704.38,1850.84,4.0,7.0,4.0,10.0,0.0,1.0,A,0.0,0.0,D,15.0,12.0,7.0,3.0,15.0,16.0,1.0,4.0,2.0,4.0,0.0,0.0,3.3,3.6,2.1
SP1,2017-02-12,Leganes,Sp Gijon,1608.67,1620.66,1.0,2.0,1.0,1.0,0.0,2.0,A,0.0,0.0,D,9.0,4.0,3.0,2.0,16.0,16.0,4.0,3.0,3.0,6.0,0.0,1.0,1.83,3.4,4.75
SP1,2017-02-12,Villarreal,Malaga,1765.12,1700.78,4.0,6.0,1.0,1.0,1.0,1.0,D,0.0,1.0,A,12.0,11.0,5.0,5.0,14.0,12.0,9.0,9.0,0.0,5.0,1.0,0.0,1.8,3.5,4.75
SP1,2017-02-13,Eibar,Granada,1679.18,1606.44,6.0,9.0,3.0,4.0,4.0,0.0,H,2.0,0.0,H,25.0,13.0,9.0,3.0,11.0,14.0,7.0,8.0,2.0,2.0,0.0,0.0,1.55,4.2,6.0
SP1,2017-02-17,Granada,Betis,1598.74,1670.75,3.0,4.0,3.0,6.0,4.0,1.0,H,3.0,0.0,H,10.0,6.0,8.0,2.0,18.0,9.0,4.0,7.0,4.0,1.0,1.0,1.0,3.0,3.2,2.5
SP1,2017-02-18,La Coruna,Alaves,1655.5,1649.76,1.0,3.0,4.0,5.0,0.0,1.0,A,0.0,0.0,D,16.0,6.0,4.0,4.0,13.0,13.0,10.0,6.0,5.0,3.0,0.0,0.0,2.0,3.1,4.2
SP1,2017-02-18,Real Madrid,Espanol,2038.35,1707.67,9.0,12.0,6.0,9.0,2.0,0.0,H,1.0,0.0,H,12.0,3.0,3.0,1.0,12.0,13.0,13.0,2.0,3.0,4.0,0.0,0.0,1.14,8.0,21.0
SP1,2017-02-18,Sevilla,Eibar,1844.7,1701.41,4.0,10.0,9.0,12.0,2.0,0.0,H,1.0,0.0,H,11.0,11.0,5.0,3.0,13.0,11.0,5.0,2.0,2.0,3.0,0.0,0.0,1.45,4.5,7.0
SP1,2017-02-18,Sp Gijon,Ath Madrid,1614.03,1931.47,3.0,4.0,7.0,11.0,1.0,4.0,A,0.0,0.0,D,15.0,11.0,2.0,6.0,12.0,10.0,12.0,3.0,1.0,1.0,0.0,0.0,7.5,4.0,1.5
SP1,2017-02-19,Barcelona,Leganes,1990.42,1584.19,7.0,13.0,0.0,2.0,2.0,1.0,H,1.0,0.0,H,13.0,11.0,6.0,6.0,8.0,18.0,4.0,4.0,1.0,3.0,0.0,0.0,1.07,11.0,41.0
SP1,2017-02-19,Celta,Osasuna,1734.37,1555.99,3.0,9.0,1.0,2.0,3.0,0.0,H,1.0,0.0,H,11.0,8.0,4.0,3.0,14.0,18.0,3.0,5.0,1.0,0.0,0.0,0.0,1.57,4.2,5.5
SP1,2017-02-19,Sociedad,Villarreal,1775.04,1757.41,6.0,12.0,5.0,6.0,0.0,1.0,A,0.0,0.0,D,16.0,7.0,0.0,3.0,8.0,19.0,7.0,4.0,2.0,4.0,0.0,0.0,1.95,3.3,4.2
SP1,2017-02-19,Valencia,Ath Bilbao,1677.67,1768.95,1.0,7.0,6.0,8.0,2.0,0.0,H,2.0,0.0,H,15.0,15.0,5.0,5.0,17.0,11.0,3.0,1.0,0.0,1.0,0.0,0.0,2.3,3.25,3.25
SP1,2017-02-20,Malaga,Las Palmas,1687.27,1681.98,2.0,2.0,3.0,4.0,2.0,1.0,H,2.0,1.0,H,13.0,13.0,6.0,4.0,23.0,14.0,2.0,6.0,3.0,3.0,1.0,0.0,1.95,3.5,4.0
SP1,2017-02-22,Valencia,Real Madrid,1677.67,2038.35,4.0,7.0,9.0,12.0,2.0,1.0,H,2.0,1.0,H,8.0,22.0,5.0,5.0,12.0,18.0,3.0,11.0,5.0,2.0,0.0,0.0,6.0,4.33,1.53
